address,value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma,ema,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,+di,-di,dx,adx,adxr,Target
So11111111111111111111111111111111111111112,191.744894196629,3610,2024-03-27,191.744894196629,191.744894196629,191.744894196629,191.744894196629,191.744894196629,191.744894196629,20.4411,52.3828,191.7811,191.1679,0.1277,0.2502,196.5299,187.0323,-28.5413,-0.3139,13452.543742267428,6.2443,1.5538,52.3882,47.6118,4.7764,15.1493,20.8721,0
So11111111111111111111111111111111111111112,190.51842594692317,3609,2024-03-27,190.51842594692317,190.51842594692317,190.51842594692317,190.51842594692317,190.51842594692317,190.51842594692317,-29.0902,48.9155,191.9673,191.1072,0.0741,0.2808,196.9805,186.9541,-95.996,0.0403,13260.798848070799,8.2549,-0.1122,48.9202,51.0798,2.1595,15.9472,21.9526,0
So11111111111111111111111111111111111111112,192.26383502597628,3608,2024-03-27,192.26383502597628,192.26383502597628,192.26383502597628,192.26383502597628,192.26383502597628,192.26383502597628,30.3035,54.1244,192.1828,191.1692,0.1296,0.3325,197.2979,187.0677,-0.0,0.1318,13451.317274017722,53.1645,1.5827,54.1304,45.8696,8.2609,17.0078,22.4958,0
So11111111111111111111111111111111111111112,190.4456251063086,3607,2024-03-27,190.4456251063086,190.4456251063086,190.4456251063086,190.4456251063086,190.4456251063086,190.4456251063086,-30.1548,48.8546,192.2693,191.0539,0.0207,0.3832,197.4451,187.0935,-44.1436,0.9489,13259.053438991745,15.9335,-0.7672,48.8622,51.1378,2.2757,17.6806,22.8408,0
So11111111111111111111111111111111111111112,192.25491380808467,3606,2024-03-27,192.25491380808467,192.25491380808467,192.25491380808467,192.25491380808467,192.25491380808467,192.25491380808467,16.392,54.6571,192.3299,191.118,0.0667,0.4739,197.447,187.2128,-0.0,1.5871,13449.499064098054,60.7855,0.8384,54.6634,45.3366,9.3267,18.8656,23.2967,0
So11111111111111111111111111111111111111112,191.27139353447495,3605,2024-03-27,191.27139353447495,191.27139353447495,191.27139353447495,191.27139353447495,191.27139353447495,191.27139353447495,23.2108,51.7651,192.2997,190.9983,-0.0599,0.5757,197.4253,187.1741,-0.0,1.1199,13257.24415028997,62.4347,0.1659,51.7732,48.2268,3.5464,19.5994,23.4465,0
So11111111111111111111111111111111111111112,189.87874846086956,3604,2024-03-27,189.87874846086956,189.87874846086956,189.87874846086956,189.87874846086956,189.87874846086956,189.87874846086956,28.708,47.3527,192.2275,190.9695,-0.1205,0.7345,197.4489,187.0061,-0.0,0.3354,13065.972756755495,-7.9495,-0.833,47.361,52.639,5.2781,20.8342,24.0181,0
So11111111111111111111111111111111111111112,188.156266566626,3603,2024-03-27,188.156266566626,188.156266566626,188.156266566626,188.156266566626,188.156266566626,188.156266566626,-19.3792,41.1749,192.1829,191.0843,-0.0543,0.9483,197.4981,186.8677,-75.8108,-0.07,12876.094008294625,-49.5401,-2.0647,41.1805,58.8195,17.639,22.0309,24.6094,0
So11111111111111111111111111111111111111112,189.31901863951808,3602,2024-03-27,189.31901863951808,189.31901863951808,189.31901863951808,189.31901863951808,189.31901863951808,189.31901863951808,11.147,44.4494,192.2224,191.3926,0.2065,1.199,197.4279,187.0169,-57.5484,-0.5742,13064.250274861251,-47.2471,-0.6027,44.4521,55.5479,11.0959,22.3687,24.3187,0
So11111111111111111111111111111111111111112,188.6501986609632,3601,2024-03-27,188.6501986609632,188.6501986609632,188.6501986609632,188.6501986609632,188.6501986609632,188.6501986609632,20.7311,41.991,192.297,191.6108,0.4179,1.4471,197.3752,187.2188,-76.7014,-2.2158,12874.931256221733,-71.1003,-0.4635,41.9906,58.0094,16.0188,23.2358,24.3552,0
So11111111111111111111111111111111111111112,187.40633440609847,3600,2024-03-27,187.40633440609847,187.40633440609847,187.40633440609847,187.40633440609847,187.40633440609847,187.40633440609847,-51.6713,37.1839,192.3418,191.9225,0.7497,1.7044,197.305,187.3786,-100.0,-2.5116,12686.28105756077,-100.0,-1.5799,37.1835,62.8165,25.633,23.791,24.3361,0
So11111111111111111111111111111111111111112,190.5066121509046,3599,2024-03-26,190.5066121509046,190.5066121509046,190.5066121509046,190.5066121509046,190.5066121509046,190.5066121509046,-23.4215,46.0054,192.5669,192.3979,1.289,1.943,196.9937,188.1401,-100.0,-1.7345,12873.687391966867,-100.0,1.1816,46.0072,53.9928,7.9856,23.6493,24.3613,0
