address,value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma_5,sma_10,sma_20,sma_40,ema_5,ema_10,ema_20,ema_40,tsma,tma,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,lri,lrs,mp,mom,prc,sd,smi,ws,+di,-di,dx,adx,adxr,Target_2,Target_5,Target_10
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,199.17361423909097,3959,2024-04-10,199.17361423909097,199.17361423909097,199.17361423909097,199.17361423909097,199.17361423909097,199.17361423909097,54.751,40.1819,198.3371,198.3371,202.0941,204.9207,198.5542,199.8265,201.6617,204.1587,197.8208,204.7493,-2.2969,-1.9529,207.7733,196.4149,-30.365,-0.8061,17439.456299339163,-24.6875,-0.3183,198.3115,-0.3954,199.1736,99.2918,-2.6189,2.8396,-52.4673,199.599,40.189,59.811,19.6219,25.5973,23.596,0,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,195.88855689995935,3958,2024-04-10,195.88855689995935,195.88855689995935,195.88855689995935,195.88855689995935,195.88855689995935,195.88855689995935,9.3869,27.8697,198.8949,198.8949,202.4354,205.2835,198.2446,199.9716,201.9236,204.4144,198.0603,205.032,-2.3713,-1.8669,208.1917,196.6791,-91.5138,-3.2879,17240.282685100072,-75.1498,-2.9704,198.5204,-0.4088,195.8886,96.6786,-5.4219,2.8781,-84.9506,199.7054,27.8771,72.1229,44.2458,26.0569,23.4587,0,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,195.32534190756613,3957,2024-04-10,195.32534190756613,195.32534190756613,195.32534190756613,195.32534190756613,195.32534190756613,195.32534190756613,-92.1059,25.4262,200.1034,200.1034,203.0017,205.7288,199.4226,200.879,202.5588,204.8516,198.9952,205.3168,-2.0973,-1.7408,208.2786,197.7248,-100.0,-2.0149,17044.394128200114,-90.6435,-3.3466,199.7735,-0.299,195.3253,96.0666,-5.8974,2.6385,-81.6954,200.6596,25.4335,74.5665,49.133,24.6578,22.5072,-1,-1,-1
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,200.851693664906,3956,2024-04-10,200.851693664906,200.851693664906,200.851693664906,200.851693664906,200.851693664906,200.851693664906,6.7531,36.7829,201.7926,201.7926,203.4953,206.1479,201.4712,202.1131,203.3202,205.3401,200.4321,205.5895,-1.6597,-1.6517,207.5017,199.4889,-87.8129,-1.1435,17239.71947010768,-68.8291,2.5286,201.2064,-0.1866,200.8517,98.7293,-2.9087,2.0032,-62.2496,201.9932,36.791,63.209,26.418,22.775,21.3175,0,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,200.4465065799486,3955,2024-04-10,200.4465065799486,200.4465065799486,200.4465065799486,200.4465065799486,200.4465065799486,200.4465065799486,-25.2614,34.8023,202.3398,202.3398,203.6251,206.4121,201.7809,202.3934,203.5801,205.5703,201.0075,205.8548,-1.6396,-1.6496,207.4443,199.8059,-100.0,-1.1355,17038.867776442774,-40.3748,1.5052,201.3251,-0.2172,200.4465,97.7038,-2.8547,1.9096,-44.7349,202.2785,34.809,65.191,30.3819,22.4948,21.2762,0,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,201.96219004420766,3954,2024-04-10,201.96219004420766,201.96219004420766,201.96219004420766,201.96219004420766,201.96219004420766,201.96219004420766,0.512,39.0543,202.7258,202.7258,203.7099,206.7084,202.4481,202.8261,203.9099,205.833,201.8416,206.1335,-1.549,-1.6522,207.3122,200.1076,-98.3302,-0.779,17239.314283022723,6.2291,2.5612,201.5482,-0.2495,201.9622,98.3745,-2.2093,1.8012,-4.9922,202.7365,39.0637,60.9363,21.8727,21.8881,21.1112,0,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,201.93146898882753,3953,2024-04-10,201.93146898882753,201.93146898882753,201.93146898882753,201.93146898882753,201.93146898882753,201.93146898882753,-30.6628,38.9149,202.677,202.677,203.8383,206.9775,202.691,203.018,204.115,206.0316,202.1367,206.4333,-1.565,-1.678,207.3645,200.3121,-89.593,0.1744,17037.352092978515,-3.8062,1.2167,201.591,-0.2853,201.9315,97.7827,-2.4,1.7631,25.5826,202.9301,38.9231,61.0769,22.1537,21.8893,21.5393,0,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,203.77123966476074,3952,2024-04-10,203.77123966476074,203.77123966476074,203.77123966476074,203.77123966476074,203.77123966476074,203.77123966476074,3.0602,44.6419,202.7095,202.7095,204.0976,207.2732,203.0708,203.2595,204.3448,206.2418,202.2202,206.7473,-1.5596,-1.7062,207.784,200.4112,-0.0,0.97,17239.283561967342,80.852,1.6795,201.7314,-0.3084,203.7712,99.0067,-1.8823,1.8432,43.6425,203.1798,44.6479,55.3521,10.7042,21.869,21.7862,1,1,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,203.58763017522924,3951,2024-04-10,203.58763017522924,203.58763017522924,203.58763017522924,203.58763017522924,203.58763017522924,203.58763017522924,20.182,43.8748,202.074,202.074,204.2874,207.522,202.7206,203.1458,204.4052,206.3685,201.9438,207.0648,-1.7174,-1.7428,208.2662,200.3086,-0.0,0.9081,17035.51232230258,16.7981,1.2417,201.3238,-0.4089,203.5876,98.8284,-3.1243,1.9894,15.5126,203.0319,43.883,56.117,12.234,22.7278,22.5324,0,0,0
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,202.37670770901357,3950,2024-04-10,202.37670770901357,202.37670770901357,202.37670770901357,202.37670770901357,202.37670770901357,202.37670770901357,10.9824,38.6898,201.8802,201.8802,204.4514,207.7482,202.2871,203.0476,204.4913,206.5111,201.8366,207.3883,-1.875,-1.7492,208.5694,200.3334,-11.9383,0.167,16831.92469212735,-17.9741,-0.1811,201.2974,-0.4307,202.3767,97.6657,-3.4685,2.059,-26.5113,202.893,38.6952,61.3048,22.6096,23.535,23.542,0,0,0
