address,value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma_5,sma_10,sma_20,sma_40,ema_5,ema_10,ema_20,ema_40,tsma,tma,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,lri,lrs,mp,mom,prc,sd,smi,ws,+di,-di,dx,adx,adxr,Target
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,210.3199746408981,3610,2024-03-27,210.3199746408981,210.3199746408981,210.3199746408981,210.3199746408981,210.3199746408981,210.3199746408981,18.4531,52.1622,210.1217,210.1217,210.4655,210.2433,209.859,209.7131,209.7863,208.5105,207.7082,211.0269,0.159,0.3015,215.7242,205.2068,-39.0055,-0.3553,15516.152200223727,4.6966,1.5955,209.6652,0.096,210.32,100.1027,0.9128,2.6293,23.3835,209.7099,52.1595,47.8405,4.319,15.1029,21.1056,1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,209.21279131206114,3609,2024-03-27,209.21279131206114,209.21279131206114,209.21279131206114,209.21279131206114,209.21279131206114,209.21279131206114,-28.1684,49.32,210.0465,210.0465,210.6731,210.1828,209.6285,209.5782,209.7301,208.4177,207.339,211.0047,0.1128,0.3371,216.2127,205.1335,-91.107,0.0114,15305.83222558283,9.7174,0.0052,208.7629,-0.0804,209.2128,98.8898,0.9271,2.7698,31.3949,209.5574,49.3179,50.6821,1.3642,15.9324,22.2159,-1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,210.90289602425048,3608,2024-03-27,210.90289602425048,210.90289602425048,210.90289602425048,210.90289602425048,210.90289602425048,210.90289602425048,31.3181,53.8538,209.8822,209.8822,210.9127,210.1443,209.8364,209.6594,209.7846,208.377,207.321,210.9557,0.1648,0.3931,216.5917,205.2337,-8.9203,0.0811,15515.04501689489,51.0886,1.6536,208.2618,-0.2084,210.9029,98.6728,1.7506,2.8395,50.4542,209.6435,53.8518,46.1482,7.7037,17.053,22.8479,1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,209.0238114416086,3607,2024-03-27,209.0238114416086,209.0238114416086,209.0238114416086,209.0238114416086,209.0238114416086,209.0238114416086,-35.4175,49.0133,208.9943,208.9943,211.0163,210.0021,209.3032,209.3831,209.6669,208.2474,207.1168,210.8788,0.0567,0.4502,216.766,205.2666,-45.3561,1.092,15304.14212087064,14.7221,-0.826,207.3119,-0.3965,209.0238,97.7427,-0.2097,2.8748,44.1276,209.3287,49.0125,50.9875,1.9749,17.7722,23.2471,-1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,211.14885973652994,3606,2024-03-27,211.14885973652994,211.14885973652994,211.14885973652994,211.14885973652994,211.14885973652994,211.14885973652994,20.0818,55.0795,208.7538,208.7538,211.0755,209.8742,209.4429,209.4629,209.7346,208.2076,207.6277,210.7774,0.1093,0.5486,216.766,205.385,-0.0,1.7926,15513.165932312248,60.4522,1.0568,207.0652,-0.4914,211.1489,98.34,1.5495,2.8453,45.9561,209.4049,55.0777,44.9223,10.1554,18.9874,23.6086,1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,209.94394899680196,3605,2024-03-27,209.94394899680196,209.94394899680196,209.94394899680196,209.94394899680196,209.94394899680196,209.94394899680196,25.8739,51.9513,207.9237,207.9237,211.0363,209.749,208.5899,209.0883,209.5857,208.0568,207.6829,210.6573,-0.0416,0.6584,216.735,205.3376,-0.0,1.244,15302.017072575718,60.867,0.1733,206.4852,-0.6022,209.9439,98.0082,-0.3062,2.8494,8.5189,208.9689,51.9469,48.0531,3.8937,19.6668,23.7654,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,208.39151345142332,3604,2024-03-27,208.39151345142332,208.39151345142332,208.39151345142332,208.39151345142332,208.39151345142332,208.39151345142332,32.1318,47.5777,207.079,207.079,210.9599,209.6002,207.9128,208.8981,209.548,207.96,208.1805,210.5285,-0.1108,0.8334,216.7552,205.1646,-0.0,0.3486,15092.073123578915,-6.6237,-0.9209,206.3057,-0.6646,208.3915,97.7856,-1.1582,2.8976,-30.3614,208.7251,47.5756,52.4244,4.8487,20.8801,24.3597,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,206.46360751388633,3603,2024-03-27,206.46360751388633,206.46360751388633,206.46360751388633,206.46360751388633,206.46360751388633,206.46360751388633,-22.6284,41.4382,207.1933,207.1933,210.9049,209.4665,207.6735,209.0107,209.6697,207.9379,209.1017,210.3926,-0.0394,1.0695,216.8164,204.9934,-77.0812,-0.0509,14883.681610127493,-46.4218,-2.3352,206.5044,-0.7008,206.4636,96.8817,-2.0958,2.9558,-58.5426,208.8085,41.432,58.568,17.1361,22.1133,24.9632,-1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,207.82131161070532,3602,2024-03-27,207.82131161070532,207.82131161070532,207.82131161070532,207.82131161070532,207.82131161070532,207.82131161070532,13.7197,44.8744,207.9214,207.9214,210.9455,209.3681,208.2784,209.5767,210.0072,208.0135,210.423,210.2487,0.2484,1.3467,216.7447,205.1463,-52.0753,-0.5117,15090.145217641379,-47.0938,-0.6399,207.4811,-0.6334,207.8213,96.8992,-1.892,2.8996,-65.7528,209.3948,44.8706,55.1294,10.2587,22.4961,24.7322,1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,206.99813252348116,3601,2024-03-27,206.99813252348116,206.99813252348116,206.99813252348116,206.99813252348116,206.99813252348116,206.99813252348116,21.295,42.1704,208.6695,208.6695,211.0275,209.2238,208.507,209.9668,210.2373,208.0233,211.2455,210.091,0.474,1.6213,216.6924,205.3626,-78.1254,-2.3102,14882.323906030673,-72.5136,-0.5584,208.4029,-0.5483,206.9981,96.7261,-2.2393,2.8324,-84.1782,209.7881,42.1684,57.8316,15.6632,23.4375,24.8116,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,205.72043015451072,3600,2024-03-27,205.72043015451072,205.72043015451072,205.72043015451072,205.72043015451072,205.72043015451072,205.72043015451072,-54.0443,37.7726,210.0178,210.0178,211.074,209.0652,209.2614,210.6265,210.5783,208.0759,212.425,209.9106,0.8388,1.9081,216.62,205.528,-100.0,-2.676,14675.325773507193,-100.0,-1.6726,210.0236,-0.3342,205.7204,96.5934,-2.6452,2.773,-92.2412,210.4856,37.7722,62.2278,24.4557,24.0355,24.8311,-1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,208.96308608965515,3599,2024-03-26,208.96308608965515,208.96308608965515,208.96308608965515,208.96308608965515,208.96308608965515,208.96308608965515,-19.0176,46.0152,211.6439,211.6439,211.3174,208.8933,211.0319,211.7168,211.0896,208.1967,213.6287,209.7097,1.4223,2.1754,216.301,206.3338,-100.0,-2.1103,14881.046203661705,-100.0,1.2846,212.0829,-0.0684,208.9631,99.4083,-1.0224,2.4918,-81.9161,211.6769,46.0155,53.9845,7.9689,24.0031,24.9533,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,210.10414228400285,3598,2024-03-26,210.10414228400285,210.10414228400285,210.10414228400285,210.10414228400285,210.10414228400285,210.10414228400285,-24.2887,49.5495,212.7939,212.7939,211.4109,208.7013,212.0664,212.3287,211.3134,208.1574,214.1852,209.4673,1.8164,2.3637,216.2832,206.5386,-100.0,-1.9611,15090.00928975136,-80.3334,1.576,213.5711,0.1665,210.1041,99.876,0.7502,2.4361,-62.9271,212.3554,49.5489,50.4511,0.9022,25.2366,25.6759,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,211.56146524483864,3597,2024-03-26,211.56146524483864,211.56146524483864,211.56146524483864,211.56146524483864,211.56146524483864,211.56146524483864,-36.3038,54.5122,213.6152,213.6152,211.4499,208.5195,213.0475,212.8231,211.4407,208.0576,214.52,209.1964,2.1767,2.5006,216.2921,206.6077,-100.0,-0.9646,15300.113432035363,-32.5829,2.047,214.8464,0.3936,211.5615,101.5085,3.1152,2.4211,-22.9773,212.9182,54.5131,45.4869,9.0263,27.1084,27.073,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,213.7396925761196,3596,2024-03-26,213.7396925761196,213.7396925761196,213.7396925761196,213.7396925761196,213.7396925761196,213.7396925761196,-1.8551,63.3131,213.925,213.925,211.4633,208.2194,213.7905,213.1034,211.428,207.8779,214.4579,208.9033,2.4565,2.5815,216.3082,206.6184,-60.7445,-0.1297,15511.674897280202,24.4696,3.0831,215.6268,0.5608,213.7397,103.1109,3.7513,2.4224,28.6482,213.2574,63.3176,36.6824,26.6352,28.4994,28.4874,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,213.8510007409344,3595,2024-03-26,213.8510007409344,213.8510007409344,213.8510007409344,213.8510007409344,213.8510007409344,213.8510007409344,-14.37,63.802,213.7988,213.7988,211.3633,207.7802,213.8159,212.962,211.1847,207.5773,213.939,208.5789,2.556,2.6128,216.0974,206.6292,-53.7437,0.4833,15725.414589856322,-16.2087,1.6956,215.4123,0.5748,213.851,103.1729,2.8628,2.367,46.6037,213.1368,63.8066,36.1934,27.6132,28.6428,29.3367,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,214.71320131599632,3594,2024-03-26,214.71320131599632,214.71320131599632,214.71320131599632,214.71320131599632,214.71320131599632,214.71320131599632,8.3775,67.5503,213.923,213.923,211.2362,207.2609,213.7983,212.7645,210.904,207.2556,213.4076,208.2206,2.6347,2.627,215.8307,206.6417,-0.0,0.5389,15939.265590597257,20.64,1.6832,215.2193,0.6102,214.7132,102.5065,3.3916,2.2973,57.2164,212.9583,67.5595,32.4405,35.119,28.722,29.6838,1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,214.2105510217461,3593,2024-03-26,214.2105510217461,214.2105510217461,214.2105510217461,214.2105510217461,214.2105510217461,214.2105510217461,18.333,66.4852,213.7812,213.7812,211.0566,206.7181,213.3408,212.3315,210.5031,206.8731,212.6687,207.8231,2.6089,2.625,215.3654,206.7478,-19.1613,-0.1207,15724.55238928126,31.1801,0.6795,214.3065,0.5151,214.2106,103.022,4.3832,2.1544,51.9044,212.5195,66.4926,33.5074,32.9852,28.2299,30.0401,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,213.11057399924425,3592,2024-03-26,213.11057399924425,213.11057399924425,213.11057399924425,213.11057399924425,213.11057399924425,213.11057399924425,0.0276,64.0856,213.5342,213.5342,210.7731,206.1346,212.906,211.9139,210.1128,206.4968,212.2398,207.3892,2.5893,2.6291,214.959,206.5872,-90.9847,-0.4245,15510.341838259514,51.5825,-0.6784,213.3915,0.4115,213.1106,101.1975,4.512,2.0929,58.8961,212.0968,64.093,35.907,28.186,27.8641,29.7528,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,213.10891780534527,3591,2024-03-26,213.10891780534527,213.10891780534527,213.10891780534527,213.10891780534527,213.10891780534527,213.10891780534527,-22.7126,64.0836,212.9535,212.9535,210.3761,205.5812,212.8037,211.6479,209.7973,206.1577,212.2957,206.9254,2.6385,2.639,215.0748,205.6774,-31.9538,0.8368,15297.23126426027,47.4275,-0.8021,212.6887,0.3278,213.1089,101.0793,3.3808,2.3493,78.2066,211.8433,64.0894,35.9106,28.1788,27.8393,29.5517,-1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,214.47167189216572,3590,2024-03-26,214.47167189216572,214.47167189216572,214.47167189216572,214.47167189216572,214.47167189216572,214.47167189216572,7.7887,69.3931,212.4047,212.4047,210.0212,205.0849,212.6511,211.3233,209.4487,205.8012,212.1424,206.4459,2.6633,2.6391,214.9089,205.1335,-0.0,1.8333,15510.340182065614,95.0376,0.5351,211.8145,0.2074,214.4717,101.7016,5.1365,2.4438,88.7137,211.5269,69.399,30.601,38.7979,27.8132,29.3206,1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,214.0043491137793,3589,2024-03-26,214.0043491137793,214.0043491137793,214.0043491137793,214.0043491137793,214.0043491137793,214.0043491137793,17.144,68.5635,211.1939,211.1939,209.6926,204.5598,211.7408,210.6236,208.9199,205.3566,211.3943,205.9523,2.5173,2.6331,214.2089,205.1763,-0.0,2.2961,15295.868510173448,95.503,0.3574,210.5247,0.039,214.0043,101.0269,5.4001,2.2581,80.0296,210.7908,68.5698,31.4302,37.1396,26.9682,28.3904,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,212.97570836997167,3588,2024-03-26,212.97570836997167,212.97570836997167,212.97570836997167,212.97570836997167,212.97570836997167,212.97570836997167,46.1467,66.721,209.8512,209.8512,209.3758,204.0125,210.6091,209.8724,208.3847,204.9131,210.6662,205.439,2.3419,2.662,213.5105,205.2411,-0.0,1.7401,15081.86416105967,94.7467,-0.004,209.3394,-0.1138,212.9757,100.5837,5.157,2.0673,60.9042,209.9874,66.7271,33.2729,33.4543,26.1858,27.4622,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,210.20690358582522,3587,2024-03-26,210.20690358582522,210.20690358582522,210.20690358582522,210.20690358582522,210.20690358582522,210.20690358582522,-2.6343,61.0108,208.711,208.711,208.9878,203.5245,209.4257,209.1827,207.9015,204.4996,210.3054,204.9027,2.1887,2.7421,213.1547,204.8209,-5.1142,1.575,14868.888452689698,13.6798,-2.3152,208.3926,-0.2391,210.2069,99.4779,4.0384,2.0835,23.3248,209.2403,61.0143,38.9857,22.0286,25.6267,26.6493,-1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,210.36496249175502,3586,2024-03-26,210.36496249175502,210.36496249175502,210.36496249175502,210.36496249175502,210.36496249175502,210.36496249175502,32.457,61.5727,208.5622,208.5622,208.673,203.0611,209.0352,208.9551,207.6588,204.2069,210.5501,204.3563,2.2432,2.8804,213.3448,204.0012,-0.0,0.8291,15079.095356275524,35.7719,-1.3752,208.479,-0.2074,210.365,99.6416,4.8398,2.3359,-15.3347,208.9986,61.5747,38.4253,23.1494,25.9035,26.2323,1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,208.41754475088246,3585,2024-03-26,208.41754475088246,208.41754475088246,208.41754475088246,208.41754475088246,208.41754475088246,208.41754475088246,18.7755,57.0622,208.0746,208.0746,208.4617,202.587,208.3702,208.6418,207.3739,203.8911,210.4383,203.7951,2.2643,3.0397,213.1902,203.7332,-47.7691,-0.2203,14868.73039378377,-28.8355,-2.1259,208.8577,-0.0921,208.4175,99.9414,4.8146,2.3642,-60.6658,208.657,57.0628,42.9372,14.1256,26.1153,26.012,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,207.29101242604733,3584,2024-03-26,207.29101242604733,207.29101242604733,207.29101242604733,207.29101242604733,207.29101242604733,207.29101242604733,0.2776,54.1718,208.5088,208.5088,208.2405,202.1437,208.3466,208.6917,207.2641,203.659,210.8947,203.2077,2.4563,3.2336,213.3547,203.1263,-99.4974,-1.2262,14660.312849032887,-53.2856,-2.1307,209.5482,0.0406,207.291,101.0338,2.9847,2.5571,-70.615,208.7169,54.1723,45.8277,8.3445,27.0376,26.5558,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,207.27435399750232,3583,2024-03-26,207.27435399750232,207.27435399750232,207.27435399750232,207.27435399750232,207.27435399750232,207.27435399750232,-36.4787,54.13,209.2173,209.2173,208.028,201.7767,208.8744,209.003,207.2612,203.4728,211.6197,202.598,2.7804,3.4279,213.614,202.442,-100.0,-0.8486,14453.02183660684,-54.0166,-1.562,210.2761,0.1459,207.2744,100.6129,2.1898,2.793,-54.0693,209.0733,54.1299,45.8701,8.2597,28.4755,27.164,-1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,209.46307866973137,3582,2024-03-26,209.46307866973137,209.46307866973137,209.46307866973137,209.46307866973137,209.46307866973137,209.46307866973137,25.6023,61.0187,209.9391,209.9391,207.7908,201.3448,209.6744,209.3871,207.2598,203.2778,212.3319,201.9728,3.1554,3.5898,213.866,201.7156,-48.0403,-1.2441,14660.296190604342,-43.5073,1.0068,211.0523,0.2609,209.4631,100.7522,4.9637,3.0376,-33.0554,209.5231,61.0176,38.9824,22.0352,30.0306,27.3471,1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,207.92694036691015,3581,2024-03-26,207.92694036691015,207.92694036691015,207.92694036691015,207.92694036691015,207.92694036691015,207.92694036691015,-44.3652,57.4948,210.4124,210.4124,207.4201,200.8409,209.7801,209.3702,207.0279,202.9606,212.5454,201.3282,3.3652,3.6984,213.9313,200.9089,-100.0,-1.1545,14450.833111934611,-95.5176,-0.5667,211.495,0.3757,207.9269,100.1238,5.9922,3.2556,-29.7223,209.5381,57.4926,42.5074,14.9852,30.6456,27.0391,-1
